A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,GlashÙtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos GlashÙtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
0,0,0,1,194,17,420,361,964,2443,260,204,8,89,648,129,218,1581,98,224,71,659,34,552,9996,377,176,592,20,1036,638,234,10702,10,275,17,97,10,278,46,62,0,14,143,32,4530,0,204,448,56,935,409,553,0,237,909,47,48,1348,387,299,141,499,67,953,3344,1065,13,1814,165,2355,415,285,2379,255,1261,114,110
0,0,0,0,77,8,442,356,234,2389,533,265,2,37,756,98,152,1260,75,177,61,583,18,51,45,119,104,388,15,694,1326,295,8868,4,993,12,53,1,156,64,74,0,34,155,21,3259,0,156,364,25,427,368,367,0,152,121,25,30,1193,164,133,100,175,20,1656,1898,428,9,1200,163,2639,487,461,2666,220,114,42,76
0,0,0,0,96,1,388,139,77,379,218,79,1,40,839,53,90,1256,64,131,48,358,19,146,23,1,112,401,6,795,304,279,5653,3,3045,6,20,0,80,79,34,0,8,99,8,190,0,119,290,4,322,315,193,0,234,145,16,5,859,78,128,91,5,23,521,1085,156,0,977,85,2880,454,431,2662,236,3,53,47
0,0,0,0,10,1,154,21,18,4,45,6,0,4,283,6,19,586,13,32,28,3,4,7,0,0,23,110,2,97,0,48,3041,0,603,0,3,0,3,149,14,0,1,6,4,0,0,9,42,0,204,78,60,0,88,12,4,1,271,27,8,12,0,0,2,142,23,0,60,39,2256,307,125,0,98,0,7,4
2689,1671,720,3269,42281,4804,3376,2022,1823,296385,4677,5634,1497,30461,2847,5700,2978,1565,2867,2579,469,9046,374,8756,510,3557,3192,8062,9688,20699,14791,18523,12203,79047,5853,14600,12125,29820,14267,2854,2273,16723,2508,8529,2946,15701,31778,1318,5493,465,97919,22848,2440,2333,1824,16554,4027,24819,11229,6146,13627,7361,4130,12260,11558,44690,4112,3300,3884,297,101828,6175,854,2451,2956,180,7056,10558
0,0,1,0,90,0,301,64,1,343,15,34,4,27,3041,32,26,157,20,93,63,69,26,87,18,0,29,223,1,852,324,83,3071,1,305,0,14,2,33,0,3,0,1,17,1,41,0,87,100,3,302,215,38,0,117,104,10,2,266,75,91,30,0,29,101,264,66,1,562,12,5124,975,113,2847,86,0,48,27
0,0,6,0,169,1,312,99,3,996,21,63,11,55,671,60,21,143,47,132,74,97,29,146,9,20,55,374,7,1176,261,109,3245,6,323,6,54,6,74,0,23,1,0,60,4,770,0,202,188,9,315,296,52,0,153,226,13,10,318,77,168,50,24,48,349,466,71,4,616,3,5796,1681,249,2565,78,0,87,57
0,1,24,18,1373,1,407,99,8,2441,23,49,19,117,399,147,56,78,57,165,100,293,57,359,25,103,132,445,16,2029,346,250,4208,44,590,34,102,47,213,0,14,4,6,88,2,1284,0,178,220,6,268,547,91,0,489,1206,21,24,519,164,4133,77,96,414,214,488,132,15,323,6,4780,3035,221,1792,96,0,833,300
0,8,35,325,2253,4,644,153,14,2896,39,61,40,841,2149,344,142,141,150,351,168,657,113,847,42,1633,282,941,66,8149,1048,537,3539,68,1362,74,277,128,452,2,77,23,33,165,32,1944,166,295,522,21,76827,1336,250,6,1201,1543,142,108,791,433,5951,212,229,2056,360,803,264,48,658,5,10539,6307,240,5893,234,0,2561,675
4,2,40,343,5253,0,644,97,9,2160,65,42,32,12975,2200,447,318,236,209,397,140,928,68,2537,8,1396,321,728,39,6940,857,1441,2400,347,1213,229,454,217,779,3,259,237,99,196,41,1002,1980,216,604,16,24167,2472,74,96,963,1793,54,518,1100,166,5377,406,210,2177,273,4743,261,74,462,7,7907,11534,203,2544,406,0,2988,1074
