A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,GlashÙtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos GlashÙtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
0,28,17,163,4,3943,61,619,243,2177,67,31,104,26,47,2194,16,0,55,1178,30,2,19,46,0,1673,14,33,26,10,0,3,119,5,3651,172,383,10,60,4,19,0,1204,11,162,716,1349,161,1102,384,190,235,6,10,102,142,3,857,96,239,161,167,89,18,4792,286,243,103,215,0,823,860,8,2,126,0,230,285
0,645,46,103,133,13802,256,665,313,6581,144,253,100,279,204,1748,133,0,246,1643,85,22,93,162,0,1887,26,568,68,23,9,22,232,91,5410,42,1099,99,181,1125,41,5,15339,227,355,1786,1329,422,894,1404,352,499,225,11,216,409,2,859,88,568,233,309,132,85,7504,499,478,243,381,1561,939,1266,39,7,278,0,766,367
0,48,2,282,100,10616,694,415,11,1365,30,39,34,527,93,1039,47,0,113,1564,36,22,60,151,0,8126,36,190,0,9,257,20,252,56,5719,63,309,19435,231,1,64,11,4690,91,81,976,581,39,564,62,136,496,18,32,125,17,1,10,252,147,452,181,65,182,3778,1704,159,51,276,12,720,1834,34,9,100,0,651,173
0,205,2,1219,1816,26227,1812,5403,22,1866,34,1398,552,39578,648,4901,467,0,671,840982,1495,51,377,719,0,24901,179,1384,3,10,1788,30,477,304,8086,127,1263,93850,537,7,519,57,14903,681,153,2119,521,266,3517,5801,248,966,755,117,871,216,398,121,760,169,1311,384,94,709,5634,2850,393,134,309,3193,1869,2903,102,5,539,0,2477,616
0,12,0,0,8,2694,52,47,3,711,7,17,21,11,63,376,6,0,46,15,24,0,16,15,0,155,10,63,0,0,0,1,66,21,4090,0,32,2,26,0,4,0,810,75,1,198,0,12,54,13,380,316,28,0,20,7,0,1,21,49,33,43,24,5,1952,18,1494,17,195,3,292,240,19,0,18,0,377,30
0,59,61,2,4,1416,30,353,29883,1403,258,42,3,8,56,512,4,0,28,2484,42,0,12,18,0,739,8,19,162,12,0,0,78,3,4355,3,280,213,32,22,4,0,33941,32,69,176,1935,114,43,176,197,380,6,0,30,119,1,1410,15,473,50,24,87,8,2677,334,842,120,213,0,222,1193,14,2,33,0,335,9
0,906,260,10,419,14033,232,957,52394,6418,804,683,436,160,362,1869,195,19,266,4149,216,101,29,152,0,2292,34,731,361,93,13,40,313,135,35875,148,1088,1682,256,3723,79,67,52385,169,360,1614,3494,345,305,665,629,668,1467,11,159,783,6,2815,74,1030,173,229,285,114,7463,1248,1050,593,433,667,412,2563,36,2,149,0,679,104
0,8,0,0,13,3249,94,34,0,623,12,10,7,11,114,572,4,0,43,11,21,0,21,18,0,123,17,76,0,1,0,0,67,22,3204,1,41,3,37,0,5,0,1216,118,1,414,0,20,58,12,90,390,24,0,33,9,0,3,24,36,21,28,22,4,1301,18,148,14,191,26,225,213,21,0,29,0,407,22
0,19,0,23,5,3959,23,148,0,763,30,36,7,8,41,461,6,0,49,42,22,0,1,14,0,1068,4,24,0,2,0,0,51,12,2123,3,83,1,20,0,3,2,20082,2,6,284,268,49,90,25,272,318,15,1,11,6,0,11,33,79,23,19,142,1,2046,64,135,29,190,1,101,225,3,5,9,0,245,13
0,80,0,83,111,9550,240,196,7,1383,29,74,16,104,161,3564,67,0,183,245,60,2,83,84,0,951,27,883,0,7,132,8,131,106,2139,8,170,56,76,2,22,9,185127,297,24,3704,712,101,364,55,219,591,157,2,121,23,7,41,78,139,227,53,168,39,2395,116,199,44,215,1170,472,300,42,4,64,0,735,91
0,0,13,138,1753,2937,413,1678,123,609,49,179,144,520,141,365,82,0,76,73,30,48,365,277,0,1568,51,490,4,21,3911,33,171,81,1207,66,258,5972,149,7,77,49,1593,98,27,473,6659,75,336,557,97,554,24,80,182,190,2,686,391,67,1583,61,99,437,1099,626,147,119,245,8,479,3332,18,0,148,0,609,215
0,253,64,1071,7022,6986,1483,11255,29333,1888,107,1963,1470,4443,799,1558,670,0,763,430,1051,281,2703,1430,0,10105,634,2752,20,226,11505,340,831,502,2563,492,1025,22151,894,50,233,212,3865,341,200,955,16096,197,1977,6806,331,1230,844,418,646,963,853,2333,4969,386,5822,158,232,2467,3421,3222,1024,1586,440,22752,1834,7886,104,6,634,0,2427,895
0,6,0,495,233,9749,396,191,2,432,15,34,50,245,240,2705,87,0,207,7,64,4,90,190,0,4235,47,756,0,1,948,9,237,133,1210,35,183,205,81,0,214,17,26205,254,4,7607,11,35,435,22,167,712,130,3,232,31,34,23,140,89,430,216,88,66,1130,57,119,28,227,1905,700,148,30,6,111,0,832,148
0,88,1,0,39,2912,68,221,7494,2006,40,125,27,20,69,197,33,0,69,21,22,2,4,12,0,503,10,105,6,13,0,2,81,39,490,2,136,14,41,11,3,7,699,13,48,323,3868,79,61,45,191,644,408,0,14,28,0,532,21,130,18,39,169,11,1789,138,205,64,261,13,93,269,9,5,9,0,205,15
0,2,0,1,26,1662,73,42,0,305,11,4,2,11,53,456,3,0,24,9,32,0,17,10,0,76,11,100,0,0,7,0,32,32,480,1,30,7,17,0,3,0,2390,152,2,1138,286,9,49,5,92,521,14,0,23,4,0,7,13,29,15,24,69,3,430,13,55,6,197,3,155,126,10,0,18,0,327,23
0,44,0,242,410,11128,281,143,4,750,45,259,101,696,175,1180,122,0,139,20,459,7,43,135,0,2952,33,473,0,7,2139,10,131,160,748,17,198,1525,72,2,45,30,2946,179,24,765,1229,79,179,65,160,329,260,8,133,78,187,94,95,59,262,70,424,70,1264,80,176,54,264,1938,363,237,24,4,104,0,1471,130
0,8,0,437,184,8203,377,131,1,375,16,158,30,147,86,2448,39,0,101,10,34,10,71,109,0,6876,25,203,1,4,61,6,309,49,816,49,166,2451,112,0,50,16,6279,102,13,536,1198,43,350,27,371,200,44,8,140,28,7,34,154,61,860,130,167,61,935,68,168,34,227,19,516,171,19,2,80,0,766,62
0,0,0,202,172,8180,192,222,0,140,14,11,13,83,115,1370,25,0,77,7,21,0,37,42,0,1197,30,250,0,1,3191,5,69,61,590,14,103,32,48,0,75,14,15077,121,5,839,0,23,141,14,199,145,272,0,71,19,3,47,67,21,193,26,9,27,387,9,49,12,202,702,343,119,24,0,47,0,359,61
0,1,0,8,77,1254,87,17,0,53,3,2,4,18,71,601,7,0,42,3,31,0,16,16,0,16,14,162,0,1,115,0,24,30,591,5,19,4,18,0,2,4,216565,161,0,2463,0,9,46,7,66,77,33,0,28,2,3,16,18,21,36,14,0,7,122,9,38,5,199,12,170,109,12,0,16,0,341,27
0,0,0,0,93,75,63,4,0,7,0,0,0,5,68,294,1,0,4,1,8,0,12,10,0,0,13,44,0,0,26,1,30,19,271,7,6,0,24,0,2,2,1011,26,0,46,0,4,28,1,13,31,4,0,9,2,1,4,11,8,6,22,0,1,9,0,22,0,250,2,139,87,7,0,19,0,238,8
0,0,0,0,12,0,16,0,0,0,0,0,0,0,25,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,123,12,0,0,3,0,1,0,7,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,4,0,5,0,0,3,0,7,0,8,0,26,4,0,0,3,0,77,0
35,3086,1450,462,818,19520,539,1636,117175,13301,5477,28022,518,1040,722,6095,192,32,1901,1035,345,1454,1155,621,147,17391,258,759,3290,1363,32139,904,3621,1560,1009,431,2941,791,7435,2899,301,49,12183,793,1298,4042,33912,545,4355,664,2448,3782,296,184,298,2400,102,8285,356,8395,1620,4030,1314,1054,7334,1996,2173,2199,968,1096,942,7651,44,17,349,0,1590,2696
0,0,0,0,65,188,50,0,0,4,0,0,2,2,97,175,0,0,2,0,2,0,5,7,0,0,3,29,0,1,0,1,32,8,190,12,4,0,17,0,2,0,523,25,0,22,0,4,21,0,35,18,0,0,10,0,0,9,7,8,3,10,0,2,11,0,21,1,251,0,96,84,6,0,19,0,151,4
0,0,0,12,116,1306,93,10,0,30,1,4,3,9,124,490,0,0,29,0,10,0,11,10,0,55,7,53,0,4,297,3,51,22,297,58,16,1,19,0,5,2,1102,56,1,1147,0,10,25,5,64,46,45,0,7,1,0,42,23,35,6,11,0,2,59,5,37,4,235,14,238,98,9,0,17,0,183,12
0,0,0,131,247,8736,158,46,1,101,11,18,8,17,169,803,13,0,51,1,24,0,20,28,0,429,21,181,0,16,1040,3,54,79,418,43,45,12,36,0,35,4,2272,163,7,5417,3,18,80,13,146,94,347,0,53,18,2,69,39,33,41,21,9,13,269,20,59,12,243,41,376,114,14,0,32,0,436,44
0,2,0,7,81,2114,32,102,2,268,17,27,1,4,160,164,2,0,18,3,9,8,0,3,0,985,1,30,0,18,3,1,34,12,238,52,51,0,19,0,0,3,76,4,18,313,205,27,34,12,429,33,13,0,2,6,0,52,13,77,8,14,131,1,266,27,84,18,234,2,219,127,4,1,6,0,96,7
0,4,0,204,638,5695,356,244,6,683,29,2135,86,163,293,1956,106,0,152,17,37,77,98,264,0,2031,130,556,1,54,1876,18,316,167,1341,227,228,2137,200,0,91,52,2172,368,39,1885,20660,58,612,32,109,290,611,13,205,87,13,174,406,88,4351,79,191,183,387,80,196,84,278,85,1196,411,27,5,140,0,681,146
0,25,0,138,1289,9668,496,165,5,194,22,4323,346,848,476,1780,222,0,203,9,3182,62,124,334,0,1379,212,1183,3,34,12037,30,161,331,1742,264,282,1913,146,4,50,77,1941,482,28,5273,6593,61,496,56,86,313,628,10,300,238,338,278,532,79,1565,77,133,276,315,64,176,110,337,2433,1332,245,48,1,191,0,1308,258
0,40,3,0,198,3436,70,137,10,863,52921,864,121,63,416,77,18,0,45,15,18,0,1,11,0,316,5,86,7,49,15,2,29,28,260,286,145,17,35,13,4,13,139,4,80,670,6009,81,40,54,181,26,46,0,10,45,0,392,15,128,8,20,140,2,603,145,830,76,312,1842,739,281,9,0,21,0,111,11
0,2,0,14,279,5779,148,58,0,157,20,57,16,124,426,951,17,0,57,6,20,2,48,23,0,592,12,142,0,18,5733,6,60,70,405,202,67,6,30,0,3,24,825,154,16,2515,153,34,68,18,164,123,118,0,35,26,8,75,50,107,31,18,65,15,168,18,169,23,290,109,1539,143,15,0,33,0,335,42
0,0,8,57,348,5212,214,421,32,605,234,260,10,85,418,1677,34,0,79,9,55,17,46,84,20,2857,26,212,17,50,4786,15,171,103,840,303,175,105,81,3,17,34,1508,257,41,2284,5298,60,178,31,173,193,59,0,122,94,12,413,454,172,1072,41,97,43,334,120,212,51,257,119,2309,191,23,5,66,0,318,57
0,121,21,34,729,8297,322,429,43,1487,315,2030,262,392,454,931,229,5,189,14,1429,66,90,162,19280,3132,60,745,25,53,2844,17,107,285,1104,399,302,226,106,47,13,85,1062,164,124,1359,5237,128,172,55,461,211,296,2,164,251,134,589,301,232,532,36,125,83,693,221,296,105,467,1016,2710,332,27,4,105,0,968,128
0,1,0,0,161,3615,154,93,7,235,30,108,15,11,362,1115,7,0,32,8,22,12,13,20,182,312,12,107,2,29,3180,3,64,44,594,330,88,0,50,0,7,18,440,136,38,1218,2491,82,77,29,204,93,22,0,28,13,1,120,22,168,12,30,69,7,179,77,120,40,311,32,2346,184,12,3,18,0,277,21
0,21,0,0,234,5962,180,130,9,316,36,432,64,13,433,1511,22,0,57,7,21,1,13,18,176,468,8,153,3,29,898,4,86,92,881,306,128,3,35,8,11,30,1743,130,61,1066,2673,105,47,44,346,109,14,0,37,26,3,216,39,298,17,25,147,4,307,86,148,71,557,168,2402,230,15,2,24,0,307,17
0,0,0,27,725,5794,504,162,7,74,6,1769,107,275,527,3244,104,0,135,2,144,78,183,185,97,1588,70,735,0,81,18074,20,230,294,1800,244,224,57,103,0,17,111,2560,448,14,3348,40,107,293,16,57,503,93,0,268,89,21,153,702,310,238,36,26,60,52,23,71,28,628,462,3106,198,38,1,139,0,1048,180
26,15,94,285,13817,1626,538,1175,54,809,871,269,542,2411,511,358,402,0,274,21,28,1140,542,568,64,3014,316,2469,424,477,5975,574,444,2167,1342,532,2971,2739,370,13,36,282,1503,6825,161,531,19507,106,503,152,189,1774,110,262,96,3059,20,1704,1940,452,13433,79,78,2820,351,413,2477,471,354,6,2610,11939,29,5,257,1,382,843
3,435,1901,1810,53686,5897,2478,6545,94,3721,3596,125080,22048,62039,1146,2440,2835,21,2319,64,187,6937,2772,2999,242,29529,46140,53517,1311,2291,19292,3359,2132,6645,49021,2480,4882,26908,2182,12608,180,1276,10958,23532,1050,2672,50885,390,4407,706,871,7008,2400,1222,532,18374,1151,17283,15742,952,16252,271,338,15208,1892,2735,10378,18155,1031,28070,7465,35997,175,3,919,1,1590,3353
0,0,0,0,162,4543,314,87,9,226,17,171,29,18,364,2306,17,0,26,5,40,3,33,25,57,592,8,171,0,442,5652,9,127,83,1744,8,92,3,42,1,11,50,853,228,23,1605,26,95,69,33,53,262,7,0,55,21,3,170,42,523,27,68,36,7,32,29,112,28,540,121,2851,361,26,1,18,0,271,48
0,3,0,0,81,2769,196,125,10,240,34,235,44,14,368,1990,10,0,170,9,28,1,6,17,57,478,10,159,7,2237,198,15,124,65,2743,1,139,3,65,10,10,45,1405,34,66,1074,4084,170,80,38,75,218,3,0,27,35,0,191,34,434,16,83,77,7,143,89,173,60,288,58,1763,438,24,2,17,0,238,20
0,24,9,0,43,3811,244,261,18,300,53,2730,34,3,475,596,5,0,20,11,22,5,14,6,61,793,3,140,17,2457,25,3,125,58,2224,2,193,2,59,26,11,14,423,5,186,2337,4243,157,27,45,109,199,6,0,8,45,1,327,36,500,4,70,106,1,229,122,268,135,421,49,961,578,17,4,10,0,137,7
0,0,22,12,536,3933,614,789,21,412,845,2474,191,131,535,4253,115,7,114,11,142,165,160,354,138,3028,174,1451,45,4843,15423,41,311,208,2319,104,520,232,102,5,36,153,1824,313,134,5068,9337,182,460,32,102,918,26,2,331,109,63,712,919,859,676,94,136,169,113,138,271,143,567,89,1816,708,60,4,135,0,718,165
4,200,219,80,1908,6128,1164,1906,55,1410,1953,16321,1552,1027,746,4455,323,27,434,15,3885,548,220,808,312,5762,490,5643,185,6738,38917,77,467,550,3948,164,1340,543,499,244,64,304,2685,699,764,9899,20699,274,825,124,427,2280,194,6,582,482,254,1836,1491,1005,991,146,546,412,710,438,679,798,810,2013,2644,1178,83,8,294,0,2129,438
1,1,8,0,84,4291,399,157,14,147,17,451,88,11,612,2151,66,8,16,2,30,4,32,4,52,691,7,305,7,1831,82,15,151,97,1931,1,163,4,37,27,10,50,773,9,96,7929,793,133,28,36,67,1966,15,0,21,24,3,287,18,503,11,47,104,2,76,86,249,71,334,65,165,875,33,3,21,0,202,13
3,86,161,172,7414,5541,1548,476,34,1101,4462,11310,7633,1527,945,7067,681,26,1103,16,812,1431,236,1131,1947,5822,1035,15792,90,2680,16352,184,729,432,5504,1673,1132,4373,486,1601,130,390,3970,456,534,5985,45010,282,944,207,225,3497,427,79,523,3134,563,3270,2131,750,3753,109,756,2871,413,492,614,2005,972,15097,1945,3185,96,4,459,0,3094,676
0,0,9,0,162,4195,685,132,83,214,48,364,206,145,581,4271,118,7,17,12,54,13,227,36,11,1498,20,1659,11,1089,1290,15,218,116,3026,35,226,2,55,23,16,151,1013,83,56,5944,1606,164,82,49,56,2494,2,0,63,36,10,375,33,832,14,42,94,5,56,80,314,60,383,11,339,1206,41,2,65,0,416,49
7,24,48,0,414,5450,1080,276,10645,6021,183,1466,1346,346,616,9087,287,18,37,12,112,23,2453,88,22,2548,65,2728,84,1916,20584,30,1315,252,5193,92,540,27,159,2188,28,302,2558,379,322,7635,5003,231,165,172,142,2467,32,0,203,91,27,665,143,958,58,52,132,21,177,227,474,154,684,271,907,1432,74,2,163,0,801,107
6,11,71,0,386,4221,1203,415,116,2273,252,1021,1279,571,583,9514,323,75,89,8,106,33,3478,84,37,2292,74,2845,601,2887,14839,53,4795,297,5333,75,643,179,227,2741,27,391,1834,270,316,6957,1392,251,152,817,115,2069,27,0,279,76,55,771,156,961,31,42,117,41,166,233,748,114,679,114,959,1420,65,0,124,0,1075,132
4,4,80,8,1150,6554,1747,732,72,2593,187,12346,4177,741,630,8824,790,211,121,9,144,254,6671,319,17,8274,415,58921,957,3380,11452,107,2777,471,5904,188,881,534,367,1375,42,753,2412,329,100,15484,243,256,391,69,80,2207,90,2,504,451,234,1677,427,913,635,49,76,245,89,207,2439,121,1086,1624,1731,1540,107,3,270,0,1540,257
5,0,134,4,657,5561,1747,244,71,2715,327,657,11601,472,437,6965,653,237,36,8,119,60,9542,207,16,3337,104,15353,357,149054,9530,65,1683,545,5020,79,769,241,426,1282,49,1140,2003,233,85,7648,0,280,221,71,169,1731,36,0,398,101,393,2222,170,1149,109,50,59,117,57,111,3366,95,848,1128,1236,2007,99,0,194,0,1255,152
1,0,223,10,856,7387,2040,26,68,2449,4022,327,23853,88,610,6959,764,201,20,4,122,130,27462,262,6,6792,63,6033,203,1682,9996,58,988,525,44913,54,796,1314,389,93,37,1725,2910,157,141,2624,0,219,115,30,2330,1434,8,0,425,72,1313,2986,77,1790,34,56,26,18,23,89,49370,66,984,661,1181,2128,112,0,246,0,869,65
0,0,129,0,1581,970,1920,3,12,596,852,135,26657,30,389,5696,483,21,12,2,43,149,850,698,26390,556,2,2281,83,748,2075,35,8207,442,5332,15,301,13599,401,2,31,1893,2153,30,220,134,0,65,48,14,24,905,0,0,257,1,6162,3047,9,965,13,24,2,0,5,20,13002,37,46,15,1563,2303,158,0,55,0,481,20
