A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,Glashôtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos Glashôtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
14,18643,132649,270,751,15504,1271,1605,238,1535,2670,9515,3025,1360,4166,2094,1961,523,1537,117,1104,1515,300,4251,96,9943,3381,15175,197,665,24687,734,3319,146,5096,383,1506,66,769,100,236,104,6451,10185,80,6902,1516,2086,434,11358,3116,1161,465,7435,2195,5709,5332,1100,1035,3146,423,1379,13140,204,2720,1437,1692,75,3553,1,3846,10286,6515,14410,3322,294,2205,129
190,16216,6683,329,1445,12359,1339,1861,186,1462,3140,13648,4253,1912,5081,1893,1890,563,4657,83,2384,1782,736,4732,111,9908,3627,14288,269,656,24663,831,4240,496,4840,411,1677,280,718,354,271,136,6293,11796,438,5241,1569,2747,425,11712,3567,1679,512,7778,2334,22013,5642,1518,974,3219,284,1334,12321,350,3531,1481,798,188,3698,10,3694,11393,7230,15222,3206,3895,1851,155
16,16289,5525,582,846,11546,1221,1739,312,1514,3088,11173,2866,2077,5152,1921,1727,516,1774,94,1485,1945,324,4344,10141,14945,3348,17246,331,660,25448,788,3163,290,4103,470,1579,176,861,1527,262,153,6211,10761,210,4474,1465,2054,472,11179,3522,1514,470,9988,2489,27911,4925,1400,1052,3173,261,1479,13389,264,1864,1556,780,212,4080,4,3411,13718,6116,18026,3219,2062,1673,119
15,20316,6536,438,1557,8552,1327,1941,1508,1351,2518,6357,3356,3077,4991,1717,1874,499,4928,105,1822,2297,377,4447,169,13745,3092,23959,515,638,25423,798,4058,2424,4642,470,1496,1775,763,2968,185,107,5691,7592,468,4686,967,2281,339,10906,3243,2182,459,11780,2221,56969,4291,1489,1112,3167,245,1379,11555,327,1932,1448,724,389,3989,17,3236,15200,5422,17923,3071,702,1998,457
15,19301,5752,386,1301,7418,1281,1870,165,1435,2492,5225,2764,2785,4845,1852,1947,577,3373,89,2304,2770,488,4312,58,7975,3569,12183,592,619,24830,691,3732,603,4620,395,1573,230,672,540,182,169,6112,5592,337,3793,1008,7874,448,10944,3298,1370,433,15657,2390,96259,4298,1242,1075,3255,346,1528,11697,339,1524,1548,847,165,4287,14,3181,18085,5498,17356,3312,1109,2316,130
16,18227,4193,272,394,4376,1053,1434,143,1108,1995,3659,1652,2056,5044,1372,1530,640,1208,68,1221,2336,224,3479,87,7653,2690,11193,615,529,20399,686,3478,100,5656,306,1117,117,625,154,167,63,5440,3064,144,3030,747,1699,358,10047,2744,734,221,18360,1987,98868,3565,769,992,2684,285,1038,10141,176,756,1212,1008,53,4002,0,2713,17857,5595,13642,2897,59,1503,81
15,24140,7536,307,3659,5353,1694,1803,6338,2045,2207,6100,4893,3021,5892,1925,3599,623,10231,91,2462,3060,390,5113,89,8524,3156,25141,572,506,26782,995,3724,2052,6924,563,1947,3506,735,6546,191,310,6479,2813,631,4180,1118,1685,495,10778,3270,4694,564,26391,2460,128910,3710,5789,1067,3987,324,1743,12213,496,2109,1753,2172,1979,5046,1664,3185,23818,6045,16659,3907,98,1705,538
201,22476,6237,245,1177,3347,1240,1708,166,1702,1883,4249,2817,2492,5000,1461,1865,551,3540,80,2666,3500,400,4089,140,6993,2647,11170,305,481,22334,649,3968,609,5997,341,1330,184,605,353,142,195,6075,1521,340,3185,808,1419,363,9586,2852,1220,338,22503,2099,42518,3071,1181,989,8132,236,1382,9977,296,971,1591,1057,157,4536,18,3166,23833,5240,16265,3632,39,1641,178
196,23859,7425,295,1748,2704,1359,2143,240,2090,1845,4500,4091,2163,4966,1698,2561,825,6483,65,2619,4588,444,4351,94,7190,2676,26282,245,442,22725,733,3842,2320,5733,414,1560,2765,612,5314,133,302,5804,1171,581,2688,840,1463,437,8721,3211,2468,415,21350,2303,40444,2955,1380,987,4110,214,1787,9605,360,750,1682,1093,420,4784,204,3183,26068,5418,21404,4015,1495,1610,153
21,18695,5785,260,461,2237,1164,1866,177,1947,1858,3637,2826,1483,4377,1404,2066,704,2571,68,1800,4785,534,3808,98,6067,2439,7818,278,383,17042,690,4363,140,5237,297,1132,46,627,70,72,187,5298,710,265,2899,826,935,325,7780,3530,937,204,18700,1852,8546,2768,864,852,1540,182,1422,8213,185,247,1633,833,66,4341,6,2978,27893,5379,21727,4662,3,1461,75
